name,external_id
Bed 2,4579b20f-dc8b-40a8-a34e-d6373045c7a3
Pharmacy,52789a97-7768-43e1-a966-8849b6e04b09
Bed 1,9fa13a2b-5917-437e-a3fc-df433eb45766
Bio-Chemistry Lab,5ba8a167-c773-4433-b272-4da9832eb434
"Parekh, Devi and Raja",6d8b2c2c-1862-42d3-8e5f-033b933f9bc3
DP WORLD PHARMACY,acc9828e-6214-41a0-acb5-b6830e229a5e
AYURVEDA,ef034937-5648-4b66-b1ee-5a3bbd26da38
DR.VINOD PADMANABHAN,3e2e8965-b1c5-4b15-9797-6d20a3c7262e
Bed 5,e288954d-ef71-4fa2-b757-33b105ec1d66
Bed 4,88ca5894-5d8d-440f-9beb-cb4c3b12b9b9
Bed 3,2faa42e6-dcc5-4c8a-b20f-a060461b0396
ENDOSCOPY,663cdfdf-c8ab-4476-821b-0a84b4ca6e34
DR.SARASWATHY,8313c14f-0403-4e26-926f-a7e3b56ea169
DR.REMANI PHILIP,344ac663-8811-46a2-89ed-247e7e3e51d4
ENT OP,1de59ab5-53f6-480e-89e4-f6f90360fa4c
EYE OP,04ae8b3b-2f65-4c12-8783-240b0aeae097
DR.MAHESH THAMPI,57b773b0-bd4b-4314-8289-2b0cf2c6bce7
DR.KRISHNAMOORTHY,8512f5cd-1255-4aaa-853c-c6a2c59cac71
DR.RAMESH BHAT,0aac6ea4-66c9-4c60-a1e1-ecb02f6d453b
DR.T.L.P.PRABHU,13a06984-989d-4d1a-9ab9-ca022d1683d2
CCU/POP,0d5024ba-d3a3-4f39-bdd2-89d87843db05
MEDICAL RECORDS,b68f25f8-001d-4425-ab90-fc532654c7b4
BIOMEDICAL,86f0c6e3-ef6d-401b-98ee-2e494546f675
THIRD FLOOR,bf5d6682-b8d4-44e8-83b3-75cf2c43bcb7
FOURTH FLOOR,d2560cb3-14d2-44a0-9918-636dc64e9e6a
RHUMATOLOGY,21aeea7c-1f66-471f-883f-eaf5f1c3868e
EYE OT,25456e12-b7e1-43d6-ae7c-40b8b16606e2
PHYSIOTHERAPY,9ea88bd6-afca-4528-a03a-4f4f7bf1427f
SECOND OLD,659ca921-9d3d-4e02-970f-3e71aac099f5
SECOND NEW,925f6f2e-b76d-4dde-8deb-8af7938f6863
MINNOR OT,3e060c7d-449e-4f6b-a3e5-95579fc5d18a
CCU,304673ed-40ae-4e89-876b-1a168097a1d4
ECG,bf9710df-a5c1-4e49-a782-2fb6dd9f1228
CLEANING LOCATION,bb25b8e7-8edf-433a-be96-44faa2f34c2f
DR.JOY POOTHOKARAN,19c2340e-67a9-4771-9e47-e1ea2875bf5f
DR.RAMANANDA PAI,4779b383-1fba-4e40-8531-460fbae40050
OPD,907e99aa-46e3-4d7a-97f4-3b91b7140beb
IP PHARMACY,ec605e5d-a4e1-4ebb-a1a6-075909e9f94a
ORTHO OT,ce7afb3c-f0fd-4d6c-b8a5-7ca40cb66e77
X-RAY,91ba3f64-f3d8-4e6e-89af-aff8436362a8
FIRST FLOOR,aa9a48da-4ce9-4a06-8fa7-3a6a31772442
CLAIM,d3173498-d865-4895-9173-a01f3d60703c
ACCOUNTS & ADMINISTRATION,5bb10293-195b-488f-a748-3442cf692f02
OPERATION THEATRE,001fbc1e-3b93-4d27-9ed1-e48e344cf576
PHARMACY,a67a2658-bef7-409a-8ba2-2cbcee0504b0
MAIN STORE,9a05598e-0010-4ef2-8929-d54ea5c8d373
PURCHASE RETURN,2951e546-cfdf-4836-8e6f-70c3333e7a4e
CASUALTY,2f48339c-0842-42b8-972d-2426f8dc841b
GENERAL STORE,d69b24a2-acf1-4403-b89d-41eae9b763d9
DAMAGE,76c6e22e-d8b5-4901-9aad-142452e28109
LABORATORY,e3fba63d-cd7c-4e12-b784-fe79203f83f0
FRONT OFFICE,930af0ba-e866-49f9-b121-213b796167f5
ICU,6fc79012-195e-48a2-83c5-16507e0787a9
LABOUR ROOM,354b1353-653e-4587-8133-b6f43df06a89
POST OP,c1c5f8a9-eef1-454c-9664-7d940cdf3deb
CASH & BILLING,02e71025-fd48-4dca-b499-28f1f0076eb7
SECOND FLOOR,99c89f0a-6187-46b3-8d31-9a12f4b651f9
GROUND FLOOR,f9896699-3388-48d0-a333-9b2f1082edd7
G WARD,ce58439b-9c8c-47ca-a0af-0188f84a34c2
NICU,20d8c4b4-66d6-4455-ad6c-7525fb0247f7
OFFICE,3c2cf46c-f687-48fb-a28d-9f082cd57380
AMAS PHARMACY,28c2c297-d05c-4acf-bee9-e8485171cee1
CT-SCAN,bee61562-96a7-4d84-9498-7d6029216079
DIALYSIS ROOM,51469175-f7d8-4de8-9680-394ea0573e0c
SSMM SLTC AMBALAMUGAL,acd49938-3f08-4f8b-a6a4-c64f627d284c
ISC,e6b73df2-72ca-473f-83f1-19fcab773345
COVID 19 PHARMACY,8bbc36f1-97b5-4ade-9785-76e61c9aaac9
CHEMOTHERAPY WARD,081b1af1-919d-4ab9-a962-8c503dd1d5a6
ROUND TABLE INDIA TRUST PHA,32b18e29-359d-4d8f-8488-7453824db9b6
DENTAL,c657c86a-587f-4fbc-b1f4-bd7cf80b9cde
TERMINAL ICU,c3ac46be-05c8-4040-9d96-477680b7dc16
CENTRAL STERILE SUPPLY DEPARTM,cd57e409-1555-4170-b816-b9dfa239105b
